position,name,damages,physical_damage,magical_damage,pure_damage
support-safe,Zeus,33 367,8,91,1
support-safe,Techies,32 517,8,91,1
support-safe,Sniper,26 458,41,58,1
support-safe,Gyrocopter,25 946,17,82,1
support-safe,Venomancer,24 928,22,77,1
support-safe,Timbersaw,24 843,12,7,81
support-safe,Spectre,24 837,41,34,26
support-safe,Razor,24 719,53,45,1
support-safe,Queen Of Pain,24 573,20,52,28
support-safe,Warlock,24 466,18,69,12
support-safe,Nyx Assassin,24 402,14,63,22
support-safe,Lina,24 233,22,76,1
support-safe,Sand King,23 992,21,78,1
support-safe,Witch Doctor,23 945,9,47,44
support-safe,Clinkz,23 737,97,1,1
support-safe,Leshrac,23 723,10,50,40
support-safe,Viper,23 718,36,63,1
support-safe,Axe,23 657,48,2,50
support-safe,Skywrath Mage,23 423,11,87,1
support-safe,Natures Prophet,23 366,37,61,1
support-safe,Pugna,23 316,10,88,1
support-safe,Arc Warden,23 243,41,58,1
support-safe,Necrophos,23 023,12,86,1
support-safe,Earthshaker,22 997,4,94,1
support-safe,Enigma,22 978,9,68,23
support-safe,Ursa,22 942,88,11,1
support-safe,Phoenix,22 771,19,79,1
support-safe,Huskar,22 372,32,66,1
support-safe,Outworld Destroyer,22 277,24,47,30
support-safe,Death Prophet,22 153,46,52,2
support-safe,Phantom Assassin,22 069,97,1,1
support-safe,Juggernaut,21 982,60,39,1
support-safe,Lich,21 663,11,88,2
support-safe,Terrorblade,21 599,28,70,2
support-safe,Luna,21 439,22,76,2
support-safe,Shadow Fiend,21 365,22,76,2
support-safe,Bloodseeker,21 333,30,33,38
support-safe,Ember Spirit,21 246,51,48,2
support-safe,Weaver,21 199,75,23,2
support-safe,Underlord,21 154,17,81,2
support-safe,Dark Seer,20 855,10,88,2
support-safe,Drow Ranger,20 712,97,2,2
support-safe,Hoodwink,20 632,59,39,2
support-safe,Tiny,20 598,28,71,2
support-safe,Centaur Warrunner,20 562,38,60,2
support-safe,Muerta,20 533,26,73,2
support-safe,Rubick,20 510,19,77,4
support-safe,Medusa,20 454,48,50,2
support-safe,Snapfire,20 380,22,77,2
support-safe,Clockwerk,20 106,18,80,2
support-safe,Ancient Apparition,20 015,22,77,2
support-safe,Visage,19 960,43,56,2
support-safe,Troll Warlord,19 916,76,23,2
support-safe,Wraith King,19 916,54,40,6
support-safe,Jakiro,19 847,7,91,2
support-safe,Tinker,19 454,13,58,28
support-safe,Legion Commander,19 383,49,49,2
support-safe,Ogre Magi,19 325,12,86,2
support-safe,Kez,19 155,55,31,14
support-safe,Earth Spirit,19 070,22,76,2
support-safe,Invoker,18 962,31,54,15
support-safe,Puck,18 951,27,71,2
support-safe,Dark Willow,18 918,24,75,2
support-safe,Spirit Breaker,18 913,34,64,2
support-safe,Beastmaster,18 763,23,75,2
support-safe,Elder Titan,18 759,70,27,3
support-safe,Silencer,18 591,33,65,2
support-safe,Ringmaster,18 459,13,86,2
